TrialID,ID,Mass_kg,LapNum,T_Start_s,T_End_s,Seg_Dur_s,Breaths_In_Seg,First_Breath_In_Station_s,Lap_Time_s,Station_Time_s,CO2_ml_per_kg_min,O2_ml_per_kg_min,ODBA_g
Trial17_11,83H1,142,5,336.34,380.1325,43.7925,3,360.9125,24.5725,19.22,8.572758696,12.27684656,0.535844706
Trial17_11,83H1,142,6,380.1325,415.745,35.6125,3,402.805,22.6725,12.94,10.15745579,13.25179579,0.587269927
Trial17_11,83H1,142,7,415.745,471.34,55.595,4,436.675,20.93,34.665,10.52480908,14.95270752,0.593395059
Trial17_56,83H1,142,1,124.1675,197.0325,72.865,3,160.5375,36.37,36.495,4.85713982,6.815420762,0.288681348
Trial17_56,83H1,142,2,197.0325,277.6975,80.665,3,235.8225,38.79,41.875,3.565607368,5.137575593,0.284298598
Trial17_56,83H1,142,3,277.6975,348.0025,70.305,3,307.48,29.7825,40.5225,5.664453974,7.8983824,0.392171323
Trial17_56,83H1,142,4,348.0025,415.92,67.9175,3,381.83,33.8275,34.09,5.625922502,7.779736912,0.364312512
Trial17_56,83H1,142,5,415.92,487.3925,71.4725,3,447.6375,31.7175,39.755,5.100159177,7.156894285,0.338913077
Trial17_56,83H1,142,6,487.3925,545.3225,57.93,3,518.02,30.6275,27.3025,6.862094368,9.494460288,0.392166967
Trial17_56,83H1,142,7,545.3225,607.0025,61.68,3,576.5875,31.265,30.415,8.030772182,11.05318683,0.391886252
Trial17_81,83H1,142,1,150.55,211.83,61.28,3,172.905,22.355,38.925,4.888666201,6.004992094,0.64535667
Trial17_81,83H1,142,2,211.83,279.1075,67.2775,4,237.0825,25.2525,42.025,7.649628588,10.1009012,0.544820364
Trial17_81,83H1,142,3,279.1075,366.525,87.4175,4,305.3975,26.29,61.1275,7.489073199,10.28382092,0.531737173
Trial17_81,83H1,142,4,366.525,431.3475,64.8225,4,393.075,26.55,38.2725,7.382022087,10.10408162,0.490943569
Trial17_81,83H1,142,5,431.3475,513.72,82.3725,3,456.5175,25.17,57.2025,5.696383527,8.251420569,0.518386247
Trial17_81,83H1,142,6,513.72,576.185,62.465,4,539.96,26.24,36.225,7.800650054,11.03806864,0.462862584
Trial17_81,83H1,142,7,576.185,651.3725,75.1875,4,601.67,25.485,49.7025,7.759755541,10.5915493,0.51040327
Trial18_23,83H1,141,1,181.195,222.42,41.225,3,210.96,29.765,11.46,4.149516793,3.487864986,0.383886277
Trial18_23,83H1,141,2,222.42,263.63,41.21,3,250.95,28.53,12.68,4.1799398,3.954834346,0.374216946
Trial18_23,83H1,141,3,263.63,305.75,42.12,3,292.115,28.485,13.635,4.90493221,5.578792104,0.487292577
Trial18_23,83H1,141,4,305.75,346.705,40.955,3,332.085,26.335,14.62,7.952682888,9.002096229,0.465603894
Trial18_23,83H1,141,5,346.705,386.305,39.6,2,373.05,26.345,13.255,7.9701268,8.708360198,0.5744638
Trial18_23,83H1,141,6,386.305,424.655,38.35,2,411.955,25.65,12.7,7.133623679,7.928097867,0.561410902
Trial18_23,83H1,141,7,424.655,465.7,41.045,4,449,24.345,16.7,4.532648391,5.26251675,0.583711804
Trial18_23,83H1,141,8,465.7,509.6,43.9,4,489.085,23.385,20.515,10.759463,10.95332719,0.624113
Trial18_24,83H1,141,1,136.56,173.215,36.655,3,161.09,24.53,12.125,4.063188384,4.245451406,0.556837418
Trial18_24,83H1,141,2,173.215,215.15,41.935,5,197.425,24.21,17.725,5.869265758,8.336102732,0.62790329
Trial18_24,83H1,141,3,215.15,247.59,32.44,2,240.51,25.36,7.08,10.4940053,13.69467692,0.528478764
Trial18_24,83H1,141,4,247.59,284.29,36.7,2,271.54,23.95,12.75,8.572091136,11.61806482,0.679688134
Trial18_24,83H1,141,5,284.29,321.865,37.575,2,309.765,25.475,12.1,11.00550672,16.14246684,0.559532588
