proportion_clicking,session,day,trial_number,treatment,animal,EFD
87.089,9,4,1,3,2,117.09946
63.566,9,4,2,3,2,131.5333803
44.816,9,4,3,3,2,132.9935195
49.474,9,4,4,3,2,135.1853837
63.317,9,4,5,3,2,127.2528024
51.74,9,4,6,3,2,129.5377557
34.788,9,4,7,3,2,124.6947945
72.14,9,4,8,3,2,136.7947645
62.353,9,4,9,3,2,120.0549998
34.813,9,4,10,3,2,138.2000874
71.398,10,4,1,5,2,155.4556316
40,10,4,2,5,2,158.2157907
66.875,10,4,3,5,2,152.4668517
39.032,10,4,4,5,2,158.0148834
60.704,10,4,5,5,2,156.0103845
65.963,10,4,6,5,2,154.3144395
52.833,10,4,7,5,2,153.3430807
21.905,10,4,8,5,2,160.1625759
66.953,10,4,9,5,2,156.2921854
41.309,10,4,10,5,2,154.8198316
65.919,11,4,1,5,2,150.1885988
48.383,11,4,2,5,2,152.1053958
1.9872,11,4,3,5,2,158.7787975
53.203,11,4,4,5,2,152.3044775
38.661,11,4,5,5,2,161.297469
54.846,11,4,6,5,2,153.0245008
32.169,11,4,7,5,2,159.8419936
20.922,11,4,8,5,2,157.2847843
33.388,11,4,9,5,2,155.8524678
19.322,11,4,10,5,2,158.5239996
60.822,12,5,1,1,2,121.251636
68,12,5,2,1,2,129.7414453
22.677,12,5,3,1,2,139.2614725
77.506,12,5,4,1,2,134.1079898
53.834,12,5,5,1,2,131.7155329
43.75,12,5,6,1,2,147.2742704
72.312,12,5,7,1,2,139.7751829
73.343,12,5,8,1,2,122.8478411
57.202,12,5,9,1,2,132.2939561
68.524,12,5,10,1,2,148.7874576
78.792,13,5,1,2,2,139.9587594
73.659,13,5,2,2,2,132.4996213
66.049,13,5,3,2,2,135.4647456
41.889,13,5,4,2,2,125.3377931
42.544,13,5,5,2,2,132.9728959
66.307,13,5,6,2,2,141.4725587
70.5,13,5,7,2,2,143.1257131
72.459,13,5,8,2,2,142.3888167
65.636,13,5,9,2,2,143.3535533
49.028,13,5,10,2,2,131.1383792
62.359,14,5,1,4,2,133.184781
65.119,14,5,2,4,2,131.0228033
67.692,14,5,3,4,2,128.7805932
58.675,14,5,4,4,2,142.9156962
78.128,14,5,5,4,2,130.356229
67.488,14,5,6,4,2,128.8665683
74.188,14,5,7,4,2,135.0723961
82.3,14,5,8,4,2,127.5959796
54.362,14,5,9,4,2,142.8164608
43.122,14,5,10,4,2,141.3840716
21.778,15,6,1,4,2,137.5644237
77.284,15,6,2,4,2,131.6882476
46.098,15,6,3,4,2,146.0844063
44.453,15,6,4,4,2,140.5737298
51.939,15,6,5,4,2,127.9173186
35.84,15,6,6,4,2,139.6005602
68.494,15,6,7,4,2,137.3015883
63.041,15,6,8,4,2,129.0610037
15.732,15,6,9,4,2,145.1353684
74.829,15,6,10,4,2,129.1052857
57.518,16,6,1,1,2,143.3955325
53.931,16,6,2,1,2,141.5687796
81.028,16,6,3,1,2,122.6624379
63.045,16,6,4,1,2,139.0435919
10.475,16,6,5,1,2,134.0965174
55.643,16,6,6,1,2,130.1135504
66.21,16,6,7,1,2,145.7869751
32.383,16,6,8,1,2,146.240543
63.727,16,6,9,1,2,130.1722161
59.61,16,6,10,1,2,138.207723
68.165,17,6,1,3,2,145.2561434
78.08,17,6,2,3,2,143.3556436
76.712,17,6,3,3,2,140.8210505
55.394,17,6,4,3,2,134.1554802
80.845,17,6,5,3,2,128.7559448
67.125,17,6,6,3,2,144.3187935
59.573,17,6,7,3,2,134.6867197
71.263,17,6,8,3,2,141.4746044
68.609,17,6,9,3,2,133.2953465
81.544,18,7,1,3,2,139.2467203
67.412,18,7,2,2,2,139.0926123
65.424,18,7,3,2,2,135.2476148
49.976,18,7,4,2,2,144.1412481
59,18,7,5,2,2,146.1507443
37.769,18,7,6,2,2,144.8273191
28,18,7,7,2,2,137.8902609
37.063,18,7,8,2,2,150.9655409
78.113,18,7,9,2,2,124.5546175
40.541,18,7,10,2,2,136.5734899
54.683,18,7,11,2,2,143.249618
87.044,19,8,1,5,2,142.1867957
35.861,19,8,2,5,2,156.9632688
71.1,19,8,3,5,2,144.6484167
55.747,19,8,4,5,2,159.3378505
56.839,19,8,5,5,2,148.8812472
65.983,19,8,6,5,2,145.7276262
47.762,19,8,7,5,2,152.4950579
52.511,19,8,8,5,2,154.0383513
68.017,19,8,9,5,2,149.2825496
49.5,19,8,10,5,2,152.9609244
58.324,20,8,1,5,2,145.6813084
62.481,20,8,2,5,2,157.7973146
16.7,20,8,3,5,2,154.7155348
30.193,20,8,4,5,2,150.7350658
77.532,20,8,5,5,2,142.7525224
49.047,20,8,6,5,2,155.2390509
46.294,20,8,7,5,2,150.2391315
59.758,20,8,8,5,2,140.1827236
56.113,20,8,9,5,2,142.3110441
75.082,20,8,10,5,2,145.0446543
